title;release_year;parental_guidelines;duration;genre;date_added;average_rating;description
Celebrity Family Feud;2008;TV-14;2 Seasons;['Family', 'Game Shows', 'Reality'];July 11, 2022;6.5/10;Celebrity Family Feud hosted by Steve Harvey pits celebrities against each other in a contest to name the most popular responses to a survey-type question posed to 100 people.
Curious George;2006;G;87 min;['Action', 'Adventure', 'Comedy'];July 11, 2022;6.3/10;The Man in the Yellow Hat is an oddball museum employee who looks after his pet monkey, an inquisitive and wonderful creature whose enthusiasm often gets the best of him.
Jorge el Curioso (La Película);2006;G;87 min;['Family', 'Kids'];July 11, 2022;;Llega tu monito favorito, Jorge el Curioso, en ¡una nueva película animada! Descubre cómo Jorge el Curioso, el monito más aventurero, encuentra al Hombre del Sombrero Amarillo, y le sigue hasta la gran ciudad.
Missing;2022;1 Season;Genres:;['News'];July 11, 2022;;"""Missing"" is a docuseries that uncovers the untold stories of people who vanished, bringing to light compelling cold cases that never received the attention they deserved. ""Missing"" seeks to correct that while uncovering clues that bring us closer to the truth."
The $100,000 Pyramid;2016;TV-G;6 Seasons;['Game Shows', 'Reality'];July 11, 2022;;"The Pyramid is back! ""The $100,000 Pyramid"" features 100 grand up for grabs each week when some of today's hottest stars team-up with players from across the country to take on the timeless war of words, racing against the clock to give and guess clues in one of TV's all-time great word-association games."
The Anarchists;2022;TV-MA;1 Season;['Documentaries'];July 11, 2022;;Unfolding over six years, this six-part docuseries chronicles an anarchy movement that led to a strange and deadly series of events.
The Final Straw;2022;TV-PG;1 Season;['Game Shows', 'Reality'];July 11, 2022;;The stakes are high as four teams of colorful contestants face off to combat tremendous tipping towers. Each life-sized themed tower is chock full of various objects ranging from basketballs to small kitchen appliances as contestants try to successfully pull items from the stack without tipping it over in order to earn prizes. If the tower falls, the team is eliminated and the last team standing will compete against The Mega Stack, an epic battle of physics where the odds are literally stacked against them, in hopes of winning a life-changing grand prize.
The Real Housewives of Potomac;2016;TV-14;6 Seasons;['Black Stories', 'Reality'];July 11, 2022;5.2/10;Throughout Potomac, Maryland are a handful of old-line, wealthy African-American families who have historically broken racial barriers to provide the best life possible for their children.
Who Do You Think You Are?;2022;TV-PG;1 Season;['Documentaries', 'Reality'];July 11, 2022;;Celebrities trace their family trees with the help of historians and experts, unlocking past mysteries and unbelievable, real-life stories across the world and through time.
50 Shades of Sharks;2020;TV-14;;['Documentaries', 'Science & Technology'];July 10, 2022;;Exploring the private lives of sharks as they hunt, rest, clean and reproduce.
Killer Shark vs. Killer Whale;2021;TV-PG;1 Season;['Documentaries', 'Science & Technology'];July 10, 2022;;The mystery of orcas attacking great white sharks for their livers leaves scientists baffled. But why are sharks fleeing when the orcas move in?
Killing Eve;2018;TV-14;4 Seasons;['Action', 'Crime', 'Drama'];July 10, 2022;8.3/10;"Villanelle is a psychopathic assassin, and Eve is the woman charged with hunting her down; the two fiercely intelligent women, equally obsessed with each other, go head to head in an epic game of cat and mouse."
Man vs. Shark;2019;TV-PG;;['Documentaries', 'History', 'News'];July 10, 2022;;Marine biologist and shark suit inventor, Jeremiah Sullivan, attempts to intentionally get bitten by a deadly tiger shark and survive.
Orca vs. Great White;2021;TV-14;;['Documentaries', 'Science & Technology'];July 10, 2022;;Researchers investigate if orcas are hunting great whites in New Zealand.
Raging Bull Shark;2020;TV-14;;['Documentaries', 'Science & Technology'];July 10, 2022;;A team of experts looks at bull sharks and explores why the territory of the notoriously aggressive species is spreading and leading to an increase in attacks.
Shark vs. Predator;2017;TV-14;;['Science & Technology'];July 10, 2022;;Rare instances of predation on sharks by seals, crocodiles, octopi, bobcats and birds.
Shark vs. Tuna;2018;TV-PG;;['Documentaries', 'Science & Technology'];July 10, 2022;;A clash of true oceanic titans sees fights in the remote battlefields of Ascension Island. Tuna are often faster, fitter and bigger than the sharks.
Shark vs. Whale;2020;TV-PG;;['Documentaries', 'Science & Technology'];July 10, 2022;5.5/10;"A drone films a humpback whale being strategically drowned by a great white shark; marine biologist Ryan Johnson explores how and why great white sharks become whale killers."
The Croc That Ate Jaws;2021;TV-14;1 Season;['Documentaries', 'Science & Technology'];July 10, 2022;;Around the world, crocs and gators are moving out to sea and deep into shark territory. With reports of clashes on the rise, scientists send cameras into the kill zone as they investigate what happens when two of the deadliest predators on the planet go head to head!
When Sharks Attack;2018;TV-14;4 Seasons;['Documentaries', 'News', 'Science & Technology'];July 10, 2022;;From the coast of America to the exotic beaches around the world, the number of reported shark attacks has increased in the last half century. Many attacks are appearing in new and surprising places.
Gold;2022;R;97 min;['Action', 'Thriller'];July 9, 2022;;In the not too distant future, a drifter (Zac Efron) travelling through the desert discovers the largest gold nugget ever found. He must guard it from thieves amid harsh conditions and wild dogs while waiting for his partner to return.
ShoBox: The New Generation: Jalolov vs. Mulowayi (R);2022;;Genres:;['Sports'];July 9, 2022;;Olympic Gold Medalist Bakhodir Jalolov versus Jack Mulowayi. REPLAY
Generation Gap;2022;TV-PG;1 Season;['Game Shows', 'Reality'];July 8, 2022;;Kelly Ripa hosts a comedy quiz game show featuring family members of different generations who work together to answer questions about each other's generations.
Girls High School Basketball;2022;;Genres:;['Sports'];July 8, 2022;;Girls High School Basketball
Lucifer and the Biscuit Hammer;2022;1 Season;Genres:;['Action', 'Adventure', 'Anime'];July 8, 2022;;Yuuhi just got superpowers from a talking lizard, only to be saved from attack by his neighbor Samidare, a secret demon lord! Drawn to her strength and charms, Yuuhi becomes her servant as she works to conquer Earth!
Press Your Luck;2019;TV-PG;4 Seasons;['Game Shows', 'Reality'];July 8, 2022;5.9/10;A game of wits as contestants avoid the WHAMMY.
